,balance,equity,balance_btc,equity_btc
0,100634.66420664122,100000.0,9.761250861727763,9.754222846926005
60,100634.66420664122,100314.08332910802,9.761250861727763,9.757400998082645
120,100634.66420664122,100273.69772844548,9.761250861727763,9.756955744388812
180,100634.66420664122,99389.72625672288,9.761250861727763,9.747129620481962
240,100634.66420664122,99331.18364213851,9.761250861727763,9.746473398630084
300,100634.66420664122,99217.2896457196,9.761250861727763,9.74519476146797
360,100634.66420664122,98370.40249940105,9.761250861727763,9.735604981636435
420,100634.66420664122,97863.21657718402,9.761250861727763,9.729791568704231
480,100634.66420664122,98438.73889725238,9.761250861727763,9.736384208068166
540,100634.66420664122,98777.88990881082,9.761250861727763,9.740237358898716
600,100634.66420664122,98698.2191325719,9.761250861727763,9.739334312143098
660,97730.50497526466,97734.57688461042,9.761250861727763,9.728308608210337
720,97730.50497526466,98000.58356700676,9.761250861727763,9.740456503356636
780,97730.50497526466,96573.09669702711,9.761250861727763,9.704892758899597
840,97730.50497526466,98112.61188696069,9.761250861727763,9.743214578082739
900,97730.50497526466,97239.82709138887,9.761250861727763,9.721600916914241
960,99993.77587033338,99047.4331741602,9.785735017949008,9.766045933074496
1020,99993.77587033338,99777.74012928121,9.785735017949008,9.783128880717369
1080,99993.77587033338,99496.28681162317,9.785735017949008,9.780004286811852
1140,99993.77587033338,99580.10519775958,9.785735017949008,9.780936446351214
1200,99993.77587033338,99247.47854961822,9.785735017949008,9.77722902345592
1260,99993.77587033338,99431.1069876671,9.785735017949008,9.779278446945037
1320,100924.92902501208,99632.82255114536,9.792699208919352,9.781522013067711
1380,100924.92902501208,101868.25973980728,9.792699208919352,9.792699208919352
1440,100924.92902501208,101809.89525252214,9.792699208919352,9.792699208919352
1500,101034.85644242256,101244.75858117538,9.792699208919352,9.792699208919352
1560,101034.85644242256,100990.890737223,9.792699208919352,9.791546393062596
1620,101034.85644242256,101302.6568088987,9.792699208919352,9.79497392834857
1680,101034.85644242256,100908.80633210072,9.792699208919352,9.790640841174612
1740,101034.85644242256,100511.64154554006,9.792699208919352,9.786240829070247
1800,101034.85644242256,100111.05197222467,9.792699208919352,9.781771562929581
